Timestamp,Strategy,Seed,TimeScale,DurationHours,TotalTasks,CompletedTasks,CompletionRate,AverageWait,P95Wait,Escalations,TotalDistance,RoutineCompleted,AverageFatigue
,,,,,,,,,,,,,
2026/5/11 19:15,FCFS,12345,300,10,130,120,0.9142857,429.0709,681.9719,121,9294.864,8,0.7489853
2026/5/11 19:19,FCFS,12345,300,10,131,120,0.9078014,421.8378,676.2749,144,8880.956,8,0.9127405
2026/5/11 19:21,FCFS,12345,300,10,128,116,0.8985507,421.7197,683.1464,137,9717.424,8,0.7526535
2026/5/11 19:26,ShortestDistance,12345,300,10,169,157,0.9217877,297.5412,587.1125,53,8680.663,8,0.2569979
2026/5/11 19:38,ShortestDistance,12345,300,10,168,156,0.9213483,303.3022,582.2698,62,9158.478,8,0.3604704
2026/5/11 19:40,PriorityFirst,12345,300,10,131,119,0.9007092,433.5489,667.6904,152,8652.667,8,0.8593437
2026/5/11 19:45,PriorityFirst,12345,300,10,127,116,0.9051095,434.8802,700.6741,136,8626.82,8,0.8387073
2026/5/11 19:47,PriorityFirst,12345,300,10,134,122,0.9027778,426.8353,700.6741,159,8801.488,8,0.8743907
2026/5/11 19:49,AIScore,12345,300,10,153,141,0.9141104,380.2373,688.1688,122,8861.898,8,0.7192661
2026/5/11 19:51,AIScore,12345,300,10,153,141,0.9141104,377.4328,662.4734,109,8847.066,8,0.5546399
2026/5/11 19:54,ShortestDistance,12345,300,10,169,157,0.9217877,299.1067,586.2694,53,8677.215,8,0.256317
2026/5/11 19:56,AIScore,12345,300,10,147,135,0.9108281,381.6357,664.0892,124,8543.617,8,0.7062705
2026/5/13 1:28,FCFS,1,300,24,164,152,0.8681319,473.0853,704.1986,243,10786.68,6,0.5450512
2026/5/13 1:37,ShortestDistance,1,300,24,260,248,0.9225352,320.141,643.9431,173,10214.06,14,0.6941678
2026/5/13 1:44,PriorityFirst,1,300,24,195,183,0.8894009,449.776,688.1979,261,12854.88,10,0.6996852
2026/5/13 1:49,AIScore,1,300,24,216,204,0.8991597,426.4584,688.7772,267,13203.94,10,0.7395012
2026/5/14 12:11,FCFS,1,300,24,261,249,0.9192982,402.2863,674.8336,294,13623.05,13,0.6013254
2026/5/14 12:21,ShortestDistance,1,300,24,382,374,0.9605911,349.6536,665.1683,218,15250.76,16,0.9233038
2026/5/14 18:03,ShortestDistance,1,300,32,328,316,0.9555556,352.8005,669.8927,241,15008.1,28,0.29768
2026/5/14 19:14,AIScore,123,600,48,531,530,0.9948186,431.6428,684.0459,564,37981.75,46,0.7332322
2026/5/18 19:08,ShortestDistance,12345,300,10,174,172,0.9782609,341.7777,668.658,94,8115.117,8,0.1536641
2026-05-28 20:10:06,FCFS,42,3000,24,250,245,0.9671533,387.9035,676.5366,232,19107.08,20,0.6157279
2026-05-31 15:26:33,FCFS,1,300,10,139,137,0.9597315,423.0695,671.7466,180,9327.525,6,0.2797464
2026-05-31 15:46:33,FCFS,1,300,10,127,126,0.9781022,310.242,526.8292,21,11973.72,8,0.0334289
2026-05-31 16:40:31,ShortestDistance,12345,3000,10,140,138,0.9733334,307.0894,515.5177,13,12286.07,8,0.05198692
2026-05-31 16:54:54,FCFS,1,3000,10,124,122,0.9701493,404.3544,652.4449,104,8919.425,8,0
2026-05-31 16:56:51,PriorityFirst,1,3000,10,124,123,0.977612,425.5272,666.0823,123,9485.411,8,0.2259239
2026-05-31 17:00:13,AIScore,1,3000,10,126,125,0.9779412,325.1498,557.4241,26,10970.52,8,0.02767364
2026-05-31 17:18:37,ShortestDistance,1,3000,10,129,128,0.9784173,296.7808,493.5353,15,10814.45,8,0.0346946
